Day,Confirmed,Deaths
1,1,0
2,0,0
3,0,0
4,1,0
5,1,0
6,2,0
7,0,0
8,0,0
9,0,0
10,1,0
11,1,0
12,1,0
13,3,0
14,0,0
15,0,0
16,1,0
17,0,0
18,0,0
19,0,0
20,0,0
21,1,0
22,0,0
23,1,0
24,1,0
25,0,0
26,0,0
27,0,0
28,10,0
29,0,0
30,0,0
31,2,0
32,3,0
33,0,0
34,0,0
35,13,0
36,2,0
37,15,0
38,0,0
39,5,0
40,5,1
41,18,2
42,17,3
43,20,4
44,36,2
45,67,0
46,83,3
47,117,4
48,119,3
49,201,4
50,271,5
51,242,6
52,407,6
53,556,7
54,674,10
55,702,8
56,907,23
57,1399,26
58,2444,45
59,4044,50
60,5618,65
61,6516,83
62,8546,98
63,10428,121
64,10677,210
65,14608,265
66,16857,300
67,17367,413
68,20940,531
69,18445,338
70,21490,564
71,24454,821
72,27138,1018
73,29133,1069
74,32368,1825
75,34844,1557
76,25797,1367
77,33522,2253
78,28244,1507
79,31796,2079
80,34727,2132
81,33475,2257
82,31737,2083
83,27129,1681
84,25813,1764
85,26647,2705
86,29848,2753
87,31873,2358
88,31433,2269
89,28401,1961
90,25335,1519
91,27319,1838
92,25517,2673
93,27881,2310
94,33921,2172
95,37481,2096
96,34289,2005
97,26603,1250
98,23194,1475
99,24855,2377
100,26512,2514
101,30432,2210
102,33957,1761
103,29533,1585
104,26015,1328
105,21919,1060
106,23727,2234
107,24510,2944
108,28439,1723
109,27736,1573
110,24841,1455
111,20169,931
112,17776,989
113,22295,1653
114,21202,1768
115,27009,1738
116,26128,1592
117,23652,1226
118,19001,844
119,21783,789
120,21108,1642
121,22972,1478
122,25843,1307
123,23626,1169
124,22420,1173
125,19955,613
126,19162,492
127,18871,772
128,18759,1460
129,22453,1224
130,24542,1192
131,23398,962
132,20643,605
133,21887,734
134,20779,1080
135,19983,989
136,21709,1006
137,28607,1115
138,22515,728
139,18618,390
140,18201,722
141,18788,1031
142,20846,920
143,23146,878
144,25469,780
